,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
23,MTLUSDT,POLYXUSDT,0.000010548396861122049,1719100799999,1732060799999,150,50,10883.975177111664,10826.167921793514,"[2.0, 40]",0.10376811937228379,0.16758346661951495,1
24,AMPUSDT,GLMRUSDT,0.00001229237521004337,1719100799999,1732060799999,150,50,14871.446059159513,10270.969574586317,"[2.0, 30]",0.15676074336147824,0.030737103654745208,1
25,ARDRUSDT,SUIUSDT,0.000012489136272770676,1719100799999,1732060799999,150,50,11447.12840747539,10446.562458568282,"[2.0, 20]",0.06627296289163666,0.05092026471892493,1
26,ALCXUSDT,SPELLUSDT,0.000012566357647768853,1719100799999,1732060799999,150,50,12192.747777220073,10186.729482194976,"[2.0, 80]",0.14041052332939,0.06365689106381538,1
27,CTSIUSDT,IOUSDT,0.000013221091479086988,1719100799999,1732060799999,150,50,11268.172971155816,10920.832371301074,"[2.0, 30]",0.012577993282913681,0.16343708720171385,1
28,IOUSDT,SNXUSDT,0.000013680464647380748,1719100799999,1732060799999,150,50,10797.440234333331,10801.612038659841,"[2.0, 30]",0.06644449809820108,0.12220942168541418,1
29,AUDIOUSDT,FLMUSDT,0.00001442103484300229,1719100799999,1732060799999,150,50,10858.906500149607,10054.901022759936,"[2.0, 80]",0.1149610411286432,0.0029736777125987375,1
30,HOTUSDT,MOVRUSDT,0.00001709993191255718,1719100799999,1732060799999,150,50,11833.872299761944,11322.859440610471,"[2.0, 10]",0.18171736698259394,0.13945338670328947,1
31,C98USDT,DEXEUSDT,0.000019373776991197946,1719100799999,1732060799999,150,50,11090.238937798717,6756.511130577839,"[2.0, 30]",0.10702290458613091,-0.22290299105054817,1
32,DEXEUSDT,SNXUSDT,0.000020048992319513813,1719100799999,1732060799999,150,50,11036.93834196881,6116.251903152957,"[2.0, 20]",0.11740589135666303,-0.22833120022349013,1
33,ONTUSDT,POLYXUSDT,0.000020676779294165097,1719100799999,1732060799999,150,50,10437.073186390979,11199.184955917937,"[2.0, 30]",0.06636922062624431,0.2435167435519007,1
34,HIGHUSDT,PYRUSDT,0.00002154651800749979,1719100799999,1732060799999,150,50,11507.05553046335,9469.92802489685,"[2.0, 10]",0.11538923386259188,-0.09836886479117396,1
35,FARMUSDT,MOVRUSDT,0.000026743447977583548,1719100799999,1732060799999,150,50,12484.700357167094,10702.170227604192,"[2.0, 50]",0.14975639993803103,0.1103794941163,1
36,FILUSDT,KNCUSDT,0.000027510745073136762,1719100799999,1732060799999,150,50,11343.61454911554,10105.653469038278,"[2.0, 60]",0.10960450627839806,0.01403943692958823,1
37,COSUSDT,PHAUSDT,0.000029213798587834874,1719100799999,1732060799999,150,50,10784.559715750975,4596.821279096349,"[2.0, 60]",0.1056992267951432,-0.1130896281760685,1
38,ATAUSDT,RADUSDT,0.00003121248894726665,1719100799999,1732060799999,150,50,12181.657428036231,9516.092459697995,"[2.0, 10]",0.11883105981509295,-0.04337048306592991,1
39,FISUSDT,GHSTUSDT,0.000039546313670838934,1719100799999,1732060799999,150,50,12012.48994137703,9849.44228797565,"[2.0, 50]",0.11138703588030617,-0.0025997319207347884,1
40,IOSTUSDT,SANDUSDT,0.000040621248006677785,1719100799999,1732060799999,150,50,12324.759347593803,7836.041231985963,"[2.0, 30]",0.14263116651501703,-0.060522151146651396,1
41,KNCUSDT,SANDUSDT,0.00004065090794380822,1719100799999,1732060799999,150,50,11793.350990647688,11509.78647086268,"[2.0, 10]",0.17006320820405563,0.21348563115374644,1
42,STRAXUSDT,TUSDT,0.00004230945755047689,1719100799999,1732060799999,150,50,12841.545547177706,11914.854938858854,"[2.0, 50]",0.14318913516600065,0.1416940604457692,1
43,COMPUSDT,FLMUSDT,0.00004356434032272258,1719100799999,1732060799999,150,50,11796.114215380836,8428.148932764825,"[2.0, 40]",0.11892377856901488,-0.09845219005391705,1
44,LUNAUSDT,THETAUSDT,0.000045083219802862796,1719100799999,1732060799999,150,50,11457.318816732315,9600.34085492951,"[2.0, 40]",0.10394134220284268,-0.04242567740309264,1
45,LISTAUSDT,XAIUSDT,0.00004834634120737373,1719100799999,1732060799999,150,50,11425.21287979338,10089.335045109952,"[2.0, 10]",0.1465165804579205,0.014085626119352577,1
46,JUVUSDT,LISTAUSDT,0.000051665406414996235,1719100799999,1732060799999,150,50,10891.781933009695,10726.311927804116,"[2.0, 20]",0.14525370107779823,0.12902048550437706,1
47,DYMUSDT,STXUSDT,0.00005621998288962908,1719100799999,1732060799999,150,50,12185.63015226908,10793.266085985186,"[2.0, 40]",0.15422915290437933,0.20255544834341846,1
48,USDTDAI,XRPUSDT,0.00005761770233079239,1719100799999,1732060799999,150,50,8390.203392684558,6704.924967684898,"[2.0, 100]",-0.05029263220216792,-0.22353747641889657,1
49,SPELLUSDT,ZILUSDT,0.00005889201532208793,1719100799999,1732060799999,150,50,10855.596925960745,10923.76642868334,"[2.0, 20]",0.1125301840569844,0.12783082718373368,1
0,BTCUSDT,WBTCUSDT,5.391441737024825e-12,1723420799999,1736380799999,150,50,10035.968240069351,10025.054975379284,"[2.0, 70]",-0.4475657688384132,-0.2912114075259927,2
1,APEUSDT,LUMIAUSDT,4.6544515403145904e-10,1723420799999,1736380799999,150,50,10316.154396058559,9913.498974596538,"[2.0, 10]",0.10730936316221591,-0.037056977293655084,2
2,PROMUSDT,RADUSDT,3.805989865177988e-9,1723420799999,1736380799999,150,50,16658.188588147674,10181.762749800322,"[2.0, 30]",0.13057582775948837,0.023944095156673593,2
3,QTUMUSDT,WAXPUSDT,6.04915431976674e-9,1723420799999,1736380799999,150,50,13565.195179055203,10129.897872972555,"[2.0, 30]",0.15934516162361256,0.01792783758533531,2
4,AIUSDT,STEEMUSDT,7.016300845607602e-9,1723420799999,1736380799999,150,50,18363.990793435627,10000,"[2.0, 70]",0.19919434253884302,-Infinity,2
5,MANAUSDT,ZRXUSDT,1.176622499308724e-8,1723420799999,1736380799999,150,50,14601.319839937205,9892.205632753366,"[2.0, 10]",0.12276464647125815,-0.08051547358134063,2
6,HOTUSDT,MOVRUSDT,4.048145794086797e-8,1723420799999,1736380799999,150,50,13661.007140328142,9862.689236311793,"[2.0, 30]",0.17434640552974145,-0.0389310681741269,2
7,ACAUSDT,XTZUSDT,6.814272135772771e-8,1723420799999,1736380799999,150,50,18682.490333334605,10304.544670437295,"[2.0, 120]",0.16615286888047215,0.04473346636675633,2
8,FISUSDT,RSRUSDT,7.477086246498131e-8,1723420799999,1736380799999,150,50,12744.605965786954,10000,"[2.0, 90]",0.12795300533445864,-Infinity,2
9,JSTUSDT,SANDUSDT,7.691033057781189e-8,1723420799999,1736380799999,150,50,11610.49845360789,10727.618861564102,"[2.0, 10]",0.01489055151143575,0.1752300450492122,2
10,ALPHAUSDT,RADUSDT,8.51013425729776e-8,1723420799999,1736380799999,150,50,12366.701573535369,10000,"[2.0, 130]",0.0981244448719783,-Infinity,2
11,ANKRUSDT,TUSDT,1.3698290406200572e-7,1723420799999,1736380799999,150,50,11927.167371184807,10268.298295911609,"[2.0, 10]",0.13336748394214681,0.17631899198164852,2
12,SANDUSDT,VETUSDT,1.4415110226315186e-7,1723420799999,1736380799999,150,50,17621.84074181508,10000,"[2.0, 130]",0.18099214833541116,-Infinity,2
13,JSTUSDT,LTCUSDT,2.0479495694461517e-7,1723420799999,1736380799999,150,50,14866.514862983444,10728.039496002464,"[2.0, 30]",0.10872116232194923,0.2396052927900835,2
14,DASHUSDT,JSTUSDT,2.3224838465885629e-7,1723420799999,1736380799999,150,50,13364.979759793861,10000,"[2.0, 130]",0.08536810313031343,-Infinity,2
15,ACAUSDT,KSMUSDT,2.600134156990595e-7,1723420799999,1736380799999,150,50,13757.104556077975,11297.427324789442,"[2.0, 10]",0.1369121917774007,0.2710258352887077,2
16,KAVAUSDT,ONTUSDT,2.620256293796815e-7,1723420799999,1736380799999,150,50,12064.625427396957,11435.002547975791,"[2.0, 50]",0.18063887821442517,0.2358540475239847,2
17,ARDRUSDT,SXPUSDT,3.7952102476504874e-7,1723420799999,1736380799999,150,50,18391.59934861008,10000,"[2.0, 120]",0.17022222891781938,-Infinity,2
18,ARPAUSDT,WOOUSDT,5.012427080727705e-7,1723420799999,1736380799999,150,50,13199.799935024625,10079.629180385127,"[2.0, 10]",0.1922852206624191,0.011374436305951755,2
19,DGBUSDT,VETUSDT,5.626106529957348e-7,1723420799999,1736380799999,150,50,22188.46186160948,10583.437757330565,"[2.0, 70]",0.20467359748348848,0.1283975949839428,2
20,ALGOUSDT,SANDUSDT,5.93884669062652e-7,1723420799999,1736380799999,150,50,20627.374108531687,9880.59161533985,"[2.0, 90]",0.1371661001191966,-0.031635293871827154,2
21,TUSDT,WAXPUSDT,7.12314867898047e-7,1723420799999,1736380799999,150,50,11054.634663896162,10836.310376010757,"[2.0, 10]",0.10323258217290393,0.2669956195709775,2
22,ENJUSDT,GLMRUSDT,8.820341428178914e-7,1723420799999,1736380799999,150,50,15386.412229228616,9986.92367360369,"[2.0, 30]",0.18141287631254452,-0.041510915192625376,2
23,QTUMUSDT,TUSDT,9.7238616194893e-7,1723420799999,1736380799999,150,50,13322.33330029566,8461.397209549044,"[2.0, 20]",0.17545397985855302,-0.13123634756003105,2
24,MBLUSDT,PUNDIXUSDT,0.0000010790235535334825,1723420799999,1736380799999,150,50,11797.121983657547,10159.000765059956,"[2.0, 30]",0.1743734354026597,0.09732263140544652,2
25,PROMUSDT,SYNUSDT,0.0000010879477312217823,1723420799999,1736380799999,150,50,15661.755221001813,9882.5214030643,"[2.0, 50]",0.1393963114730282,-0.015812444260623684,2
26,NEOUSDT,ZRXUSDT,0.000001173295283093979,1723420799999,1736380799999,150,50,16901.13795914853,9594.147281554693,"[2.0, 60]",0.17817437394405386,-0.18809785640573554,2
27,KMDUSDT,THETAUSDT,0.0000012496471123938297,1723420799999,1736380799999,150,50,11804.833473525297,10043.73564995234,"[2.0, 10]",0.09327483342248005,-0.0016749894383939381,2
28,FXSUSDT,STRAXUSDT,0.0000012586403792913367,1723420799999,1736380799999,150,50,13729.341505947577,10000,"[2.0, 50]",0.1021057678001381,-Infinity,2
29,ARDRUSDT,IQUSDT,0.0000014476557389549736,1723420799999,1736380799999,150,50,13943.939819030145,10000,"[2.0, 50]",0.20582114242668156,-Infinity,2
30,AUDIOUSDT,FLMUSDT,0.0000015182983424541613,1723420799999,1736380799999,150,50,12190.117712362948,10000,"[2.0, 60]",0.15656744068869974,-Infinity,2
31,KMDUSDT,XVSUSDT,0.0000023153116566266515,1723420799999,1736380799999,150,50,11303.895914504235,10029.329013860783,"[2.0, 40]",0.10755706035080768,0.0024763582142004626,2
32,BANDUSDT,C98USDT,0.0000023649475443441343,1723420799999,1736380799999,150,50,11127.211781121256,10456.49630593417,"[2.0, 20]",0.11752725641505124,0.23024003883560965,2
33,BANDUSDT,SNXUSDT,0.000002616613665633259,1723420799999,1736380799999,150,50,11440.292706475437,10321.173611652292,"[2.0, 30]",0.0915862415661292,0.07349529776727279,2
34,DASHUSDT,DGBUSDT,0.0000027608130681169044,1723420799999,1736380799999,150,50,17213.88862257363,10000,"[2.0, 40]",0.2035504965147675,-Infinity,2
35,AMPUSDT,COMPUSDT,0.0000028258246725566555,1723420799999,1736380799999,150,50,17198.977227882227,10113.657914671605,"[2.0, 50]",0.22946911996909736,0.038782821706508666,2
36,BLURUSDT,YGGUSDT,0.000002833882165024109,1723420799999,1736380799999,150,50,13638.825406583635,10000,"[2.0, 50]",0.12911431850563823,-Infinity,2
37,GMTUSDT,POLYXUSDT,0.000003086646724732382,1723420799999,1736380799999,150,50,14647.102788927548,10122.63472426254,"[2.0, 50]",0.18766913901930718,0.029534744443096353,2
38,STEEMUSDT,STRAXUSDT,0.0000035784270781615005,1723420799999,1736380799999,150,50,15222.72084827208,10000,"[2.0, 100]",0.11794066051399028,-Infinity,2
39,FUNUSDT,JASMYUSDT,0.000003958148510971095,1723420799999,1736380799999,150,50,12981.682754754342,10000,"[2.0, 110]",0.06430044191670943,-Infinity,2
40,HOTUSDT,OGNUSDT,0.000004346036851822412,1723420799999,1736380799999,150,50,12353.676229487957,10262.925566735725,"[2.0, 40]",0.14553442818421494,0.11083291486708516,2
41,MOVRUSDT,RVNUSDT,0.000005039838625398421,1723420799999,1736380799999,150,50,15393.015830252472,10019.16766887082,"[2.0, 30]",0.18241928231608592,-0.011485625281869501,2
42,ANKRUSDT,QTUMUSDT,0.000005122940673624485,1723420799999,1736380799999,150,50,13150.704134846292,8081.291938763835,"[2.0, 50]",0.1657458764689473,-0.13870358446465986,2
43,DCRUSDT,LUMIAUSDT,0.0000058822854330689455,1723420799999,1736380799999,150,50,10156.3516515784,10066.978389075823,"[2.0, 10]",0.07581545828597619,0.00761309291749351,2
44,PYRUSDT,QIUSDT,0.0000064520271928083945,1723420799999,1736380799999,150,50,15110.980516430402,10564.811690207003,"[2.0, 30]",0.15934698890857565,0.2096143021280052,2
45,FLMUSDT,HOTUSDT,0.000006482873435419081,1723420799999,1736380799999,150,50,12972.78338591003,10362.14014595083,"[2.0, 60]",0.15192523268963945,0.16742642411471556,2
