,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
31,C98USDT,DEXEUSDT,0.000019373776991197946,1719100799999,1732060799999,150,50,10999.066919919966,9362.951951059811,"[2.0, 50]",0.07101494547613565,-0.07449781466987959,1
32,DEXEUSDT,SNXUSDT,0.000020048992319513813,1719100799999,1732060799999,150,50,10608.701494781164,8348.612521617102,"[2.0, 50]",0.07266296087351663,-0.11858319855339941,1
33,ONTUSDT,POLYXUSDT,0.000020676779294165097,1719100799999,1732060799999,150,50,10666.934173556196,11537.448855791781,"[2.0, 50]",0.0735988869025824,0.31377099401993747,1
34,HIGHUSDT,PYRUSDT,0.00002154651800749979,1719100799999,1732060799999,150,50,10081.440783098367,10656.927801487287,"[2.0, 50]",-0.0034298468484134587,0.13897365541062343,1
35,FARMUSDT,MOVRUSDT,0.000026743447977583548,1719100799999,1732060799999,150,50,12484.700357167094,10702.170227604192,"[2.0, 50]",0.1515371102560572,0.1103794941163,1
36,FILUSDT,KNCUSDT,0.000027510745073136762,1719100799999,1732060799999,150,50,11279.62720489097,11258.029680048794,"[2.0, 50]",0.12008528113734424,0.17011677537829112,1
37,COSUSDT,PHAUSDT,0.000029213798587834874,1719100799999,1732060799999,150,50,11372.15830656858,4859.7368149036565,"[2.0, 50]",0.11759206642166198,-0.10086412310630681,1
38,ATAUSDT,RADUSDT,0.00003121248894726665,1719100799999,1732060799999,150,50,11889.046011104041,10183.712673728141,"[2.0, 50]",0.15305869502815703,0.022841129396155544,1
39,FISUSDT,GHSTUSDT,0.000039546313670838934,1719100799999,1732060799999,150,50,12012.48994137703,9849.44228797565,"[2.0, 50]",0.11876845809324472,-0.0025997319207347884,1
40,IOSTUSDT,SANDUSDT,0.000040621248006677785,1719100799999,1732060799999,150,50,11193.767123123333,7925.427058328157,"[2.0, 50]",0.12824149388932407,-0.056029385812398684,1
41,KNCUSDT,SANDUSDT,0.00004065090794380822,1719100799999,1732060799999,150,50,11469.085438488486,6211.141608896136,"[2.0, 50]",0.14257299391808959,-0.1396293252462488,1
42,STRAXUSDT,TUSDT,0.00004230945755047689,1719100799999,1732060799999,150,50,12841.545547177706,11914.854938858854,"[2.0, 50]",0.15370081254754653,0.1416940604457692,1
43,COMPUSDT,FLMUSDT,0.00004356434032272258,1719100799999,1732060799999,150,50,11238.863991906332,9532.60142917948,"[2.0, 50]",0.10534883972688282,-0.016451251601094605,1
44,LUNAUSDT,THETAUSDT,0.000045083219802862796,1719100799999,1732060799999,150,50,11837.276097243468,10774.07036569684,"[2.0, 50]",0.10744078387027499,0.09169489433964897,1
45,LISTAUSDT,XAIUSDT,0.00004834634120737373,1719100799999,1732060799999,150,50,10893.951794661787,10426.258091808717,"[2.0, 50]",0.0853140918373271,0.05565885015032928,1
46,JUVUSDT,LISTAUSDT,0.000051665406414996235,1719100799999,1732060799999,150,50,10958.23647331875,9842.443189484791,"[2.0, 50]",0.0918240404923789,-0.019373797844054078,1
47,DYMUSDT,STXUSDT,0.00005621998288962908,1719100799999,1732060799999,150,50,12701.166592948495,9720.850177994056,"[2.0, 50]",0.13092555387079538,-0.029225068776878742,1
48,USDTDAI,XRPUSDT,0.00005761770233079239,1719100799999,1732060799999,150,50,8557.29076398558,6453.5143418873495,"[2.0, 50]",-0.06323578714745565,-0.2533639843096094,1
49,SPELLUSDT,ZILUSDT,0.00005889201532208793,1719100799999,1732060799999,150,50,10901.475165044105,11234.276866486713,"[2.0, 50]",0.05186951441589692,0.17427113040188266,1
0,BTCUSDT,WBTCUSDT,5.391441737024825e-12,1723420799999,1736380799999,150,50,10036.999226955639,10002.704731180369,"[2.0, 50]",-0.5517513455248783,-1.4189866393014565,2
1,APEUSDT,LUMIAUSDT,4.6544515403145904e-10,1723420799999,1736380799999,150,50,10000,10000,"[2.0, 50]",-Infinity,-Infinity,2
2,PROMUSDT,RADUSDT,3.805989865177988e-9,1723420799999,1736380799999,150,50,17647.46805390916,10451.497055460924,"[2.0, 50]",0.1355808501672095,0.06414067424111392,2
3,QTUMUSDT,WAXPUSDT,6.04915431976674e-9,1723420799999,1736380799999,150,50,11611.106933060746,11440.676146095708,"[2.0, 50]",0.08726871151021269,0.14624666344193593,2
